year,GEOID,NAME,total_malesE,total_malesM,male_insuredE,male_insuredM,male_uninsuredE,male_uninsuredM,total_femalesE,total_femalesM,female_insuredE,female_insuredM,female_uninsuredE,female_uninsuredM,pct_male_insured,pct_female_insured,total_pop,total_insured,pct_pop_insured
2020,51580,"Covington city, Virginia",493,104,469,106,24,37,469,34,469,34,0,18,95.131845841785,100,962,938,97.5051975051975
2020,51590,"Danville city, Virginia",3435,189,3270,194,165,101,2946,153,2828,178,118,86,95.19650655021834,95.99456890699253,6381,6098,95.56495847045917
2020,51600,"Fairfax city, Virginia",1731,191,1569,181,162,107,1518,137,1433,152,85,76,90.64124783362219,94.40052700922266,3249,3002,92.39766081871345
2020,51610,"Falls Church city, Virginia",1452,141,1447,140,5,9,1295,80,1295,80,0,20,99.65564738292011,100,2747,2742,99.8179832544594
2020,51630,"Fredericksburg city, Virginia",1881,147,1776,156,105,97,2492,205,2171,351,321,269,94.41786283891547,87.11878009630819,4373,3947,90.25840384175623
2020,51640,"Galax city, Virginia",518,143,419,122,99,123,605,134,392,133,213,60,80.8880308880309,64.79338842975207,1123,811,72.2172751558326
2020,51660,"Harrisonburg city, Virginia",4512,259,4035,290,477,219,4728,304,4512,299,216,113,89.4281914893617,95.43147208121827,9240,8547,92.5
2020,51670,"Hopewell city, Virginia",2051,237,1899,209,152,127,2055,226,2055,226,0,24,92.58898098488542,100,4106,3954,96.29810034096444
2020,51680,"Lynchburg city, Virginia",5846,237,5532,286,314,182,6826,322,6380,324,446,130,94.62880602121109,93.46615880457075,12672,11912,94.00252525252525
2020,51683,"Manassas city, Virginia",4147,220,3399,275,748,253,3532,191,3057,282,475,188,81.9628647214854,86.5515288788222,7679,6456,84.07344706341972
2020,51690,"Martinsville city, Virginia",866,175,812,180,54,42,1105,112,1075,119,30,40,93.76443418013857,97.28506787330316,1971,1887,95.73820395738204
2020,51700,"Newport News city, Virginia",14754,333,13889,414,865,257,13986,397,12891,548,1095,307,94.13718313677647,92.17074217074217,28740,26780,93.18023660403618
2020,51720,"Norton city, Virginia",279,123,261,123,18,26,233,126,233,126,0,13,93.54838709677419,100,512,494,96.484375
2020,51730,"Petersburg city, Virginia",2415,143,2210,192,205,161,1919,139,1834,151,85,78,91.51138716356108,95.5706096925482,4334,4044,93.30872173511767
2020,51740,"Portsmouth city, Virginia",7470,240,7086,408,384,268,7256,237,6855,258,401,156,94.85943775100402,94.473539140022055,14726,13941,94.66929240798588
2020,51750,"Radford city, Virginia",1005,155,978,159,27,33,1403,172,1376,177,27,45,97.31343283582089,98.07555238774056,2408,2354,97.75747508305648
2020,51770,"Roanoke city, Virginia",7512,336,7070,401,442,244,7038,336,6818,336,220,109,94.1160809371672,96.87411196362604,14550,13888,95.45017182130584
2020,51775,"Salem city, Virginia",1984,174,1825,165,159,93,2080,144,2006,145,74,64,91.98588709677419,96.4423076923077,4064,3831,94.26673228346458
2020,51790,"Staunton city, Virginia",1766,157,1723,167,43,37,1599,184,1478,175,121,61,97.56511891279727,92.43277048155097,3365,3201,95.1263001485884
2020,51800,"Suffolk city, Virginia",8383,231,8139,263,244,156,8017,197,7585,222,432,193,97.08934748896576,94.61145066733192,16400,15724,95.8780487804878
2020,51810,"Virginia Beach city, Virginia",36259,520,34897,601,1362,299,34233,439,32954,543,1279,307,96.24369122148984,96.26383898577396,70492,67851,96.25347557169607
2020,51820,"Waynesboro city, Virginia",1854,245,1627,259,227,142,1763,196,1582,212,181,109,87.7562028047465,89.7334089619966,3617,3209,88.71993364666851
2020,51830,"Williamsburg city, Virginia",1236,215,1048,171,188,165,1218,215,1199,220,19,34,84.78964401294499,98.44006568144499,2454,2247,91.56479217603912
2020,51840,"Winchester city, Virginia",2462,268,2237,280,225,118,2544,261,2385,260,159,114,90.86108854589764,93.75,5006,4622,92.32920495405513
2020,51003,"Albemarle County, Virginia",9026,215,8655,263,371,134,9496,274,9210,309,286,129,95.88965211610902,96.98820556023588,18522,17865,96.45286686103013
2020,51009,"Amherst County, Virginia",2342,161,2176,171,166,92,2128,133,2010,137,118,72,92.91204099060631,94.45488721804512,4470,4186,93.64653243847874
2020,51015,"Augusta County, Virginia",5384,280,5062,295,322,157,5419,214,5110,233,309,158,94.01931649331353,94.2978409300609,10803,10172,94.1590298991021
2020,51021,"Bland County, Virginia",341,91,318,93,23,28,312,109,278,106,34,27,93.25513196480938,89.1025641025641,653,596,91.27105666156203
2020,51027,"Buchanan County, Virginia",1370,80,1326,87,44,36,1277,78,1171,96,106,67,96.78832116788321,91.69929522317932,2647,2497,94.33320740460898
