"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"85","Mary Immaculate Ambulatory Surgery Center","12720 McManus Boulevard,  Suite 103","Newport News","23602",-76.51245019,37.14372479,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51700,"Newport News City"
"86","Mary Washington Hospital, Inc.","1001 Sam Perry Boulevard","Fredericksburg","22401",-77.4836064,38.31104065,"2025/11/13 00:00:00+00","Inpatient Hospital",51630,"Fredericksburg City"
"87","McLean Ambulatory Surgery, LLC","7601 Lewinsville Road, Suite 440","McLean","22102",-77.20710815,38.93449115,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"88","MedRVA Surgery Center at Stony Point","8700 Stony Point Parkway, Suite 100","Richmond","23235",-77.56250492,37.55214029,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51760,"Richmond City"
"89","MedRVA - Surgery Center at West Creek","1630 Wilkes Ridge Parkway","Henrico","23233",-77.65335895,37.66057234,"2025/11/13 00:00:00+00","-",51075,"Goochland County"
"90","NRV Surgery Center","2901 Lamb Circle","Christiansburg","24073",-80.50473916,37.0910962,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51121,"Montgomery County"
"91","Newport News Behavioral Health Center","17579 Warwick Blvd","Newport News","23603",-76.58324605,37.20449972,"2025/11/13 00:00:00+00","-",51700,"Newport News City"
"92","North Spring Behavioral Healthcare","42009 Victory Lane","Leesburg","20176",-77.54664158,39.14561222,"2025/11/13 00:00:00+00","-",51107,"Loudoun County"
"93","Northern Virginia Eye Surgery Center, LLC","2710 Prosperity Avenue, Suite 150","Fairfax","22031",-77.23685553,38.87866881,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"94","Northern Virginia Surgery Center, LLC","3620 Joseph Siewick Drive","Fairfax","22033",-77.3809856,38.88492915,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"95","Norton Community Hospital","100 15th Street NW","Norton","24273",-82.64199217,36.93256601,"2025/11/13 00:00:00+00","Inpatient Hospital",51720,"Norton City"
"96","Pediatric Specialists of Virginia, LLC","3023 Hamaker Ct. Ste 400","Fairfax","22031",-77.23576219,38.86844412,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51059,"Fairfax County"
"97","Piedmont Day Surgery Center, Inc.","1040 Main Street","Danville","24543",-79.40260864,36.58047445,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51590,"Danville City"
